Age,Marital_Status,Education_Level,Dependents_Count,Livestock_Presence,Personal_Vehicle_Presence,Owns_House,Owns_Farm,Farm_Size_Acres,Irrigation_Presence,Farming_Technique,Farming_Tool,Yield_2Years_Ago_Tons,Investment_2Years_Ago,Profit_2Years_Ago,Yield_1Year_Ago_Tons,Investment_1Year_Ago,Profit_1Year_Ago,Market_Trend,Crop_Name,Credit_Score,Credit_Score_Category
65,False,Secondary School,9,False,True,False,False,9.6,False,Organic,Combine,35.15,5569,3738,45.6,5765,3259,Declining,Rice,781,Average
27,True,High School,3,True,True,True,True,39.0,True,Organic,Plow,83.71,8989,4679,75.19,6669,4922,Stable,Corn,817,Best
54,False,Primary School,6,False,True,False,False,3.17,False,Hydroponic,Plow,32.87,2130,1145,37.73,2327,1132,Declining,Corn,305,Poor
30,False,Master,2,False,False,True,True,36.7,True,Organic,Tractor,55.54,8100,3534,99.06,6495,5413,Stable,Corn,824,Best
35,True,Primary School,7,True,False,True,True,11.85,True,Conventional,Tractor,38.16,4995,1876,72.03,7774,2240,Growing,Rice,757,Average
52,True,Postgraduate,0,True,True,True,True,2.43,False,Hydroponic,Combine,27.81,4113,594,23.49,2348,1003,Stable,Wheat,352,Poor
38,False,Master,0,True,True,True,True,47.87,True,Conventional,Combine,50.39,9025,2457,77.17,9226,4666,Declining,Wheat,818,Best
46,True,Master,2,True,True,True,True,14.27,True,Organic,Plow,70.81,5736,2776,93.17,10882,4490,Declining,Wheat,889,Best
40,True,Secondary School,4,True,True,False,True,6.71,True,Organic,Combine,15.9,3890,1294,50.73,5119,1473,Growing,Wheat,565,Poor
59,True,High School,5,False,True,True,True,14.07,False,Conventional,Hoe,42.9,3456,1142,66.5,4637,3233,Stable,Corn,683,Average
39,False,Primary School,3,True,False,False,False,2.56,True,Organic,Plow,17.45,1730,1122,46.02,5571,1417,Growing,Corn,468,Poor
45,True,Secondary School,2,True,False,False,True,17.04,True,Organic,Combine,67.92,7141,2037,56.42,5960,3329,Growing,Rice,673,Average
28,True,High School,2,True,True,True,True,13.96,True,Hydroponic,Hoe,78.62,8671,2423,91.7,10515,2559,Declining,Rice,830,Best
52,True,Primary School,0,False,True,True,False,5.1,True,Conventional,Hoe,25.43,2709,1306,40.63,3990,2829,Declining,Rice,336,Poor
38,False,Phd,1,True,True,True,True,11.88,True,Organic,Plow,40.18,4833,3726,47.26,7298,1773,Stable,Wheat,697,Average
54,False,Primary School,7,True,False,True,False,17.11,True,Conventional,Plow,47.08,7010,2813,46.75,4803,4512,Stable,Corn,719,Average
57,False,Secondary School,5,True,False,False,True,5.79,False,Conventional,Tractor,20.15,3583,1651,50.8,2678,1190,Stable,Corn,422,Poor
18,True,Primary School,6,True,False,True,True,5.36,True,Hydroponic,Combine,43.15,2762,653,55.28,5279,1873,Stable,Wheat,365,Poor
23,True,Primary School,6,True,True,False,True,10.72,False,Hydroponic,Plow,46.99,6120,2848,51.8,4283,2039,Growing,Rice,746,Average
32,False,Primary School,3,True,True,True,True,5.79,False,Conventional,Hoe,49.07,4037,1386,55.15,3710,1362,Declining,Corn,592,Poor
50,False,High School,5,False,True,False,False,17.72,False,Conventional,Plow,65.83,7392,3084,59.31,6397,2429,Declining,Rice,739,Average
62,True,Primary School,3,False,False,False,True,5.4,False,Hydroponic,Hoe,32.29,1517,1178,56.86,4841,2282,Growing,Rice,420,Poor
28,False,Primary School,8,True,False,True,True,4.7,False,Conventional,Hoe,31.69,2562,1924,51.05,2968,2319,Growing,Soybean,562,Poor
57,True,High School,9,True,False,False,True,8.08,False,Organic,Combine,29.93,2717,1876,39.63,2707,2546,Growing,Rice,354,Poor
56,True,High School,7,False,False,False,True,1.38,True,Conventional,Combine,35.58,4054,1670,41.56,2290,1839,Declining,Corn,426,Poor
65,False,High School,5,False,True,False,False,6.41,False,Organic,Plow,59.41,5965,1451,81.33,8122,2105,Declining,Corn,652,Average
30,True,Primary School,6,True,False,True,True,8.77,True,Organic,Plow,34.48,3440,613,32.74,3150,2551,Stable,Corn,604,Poor
38,True,High School,1,True,True,True,True,27.85,True,Organic,Hoe,79.38,9373,2985,74.55,7650,4550,Declining,Soybean,866,Best
57,False,Secondary School,2,False,False,True,False,4.68,True,Organic,Plow,10.06,3387,551,53.74,4156,1746,Declining,Rice,314,Poor
37,True,Primary School,0,False,True,False,True,6.81,True,Organic,Combine,32.07,2759,864,31.74,3093,1077,Declining,Soybean,302,Poor
27,True,Primary School,7,False,False,True,False,5.49,False,Hydroponic,Combine,79.77,4666,3119,88.47,6539,3761,Declining,Wheat,703,Average
21,True,Secondary School,9,False,False,False,True,5.76,False,Conventional,Tractor,28.61,4423,568,44.68,4433,2462,Stable,Corn,550,Poor
64,True,High School,0,False,False,True,False,6.05,False,Conventional,Plow,25.34,2042,878,31.34,4725,1702,Declining,Wheat,638,Poor
26,False,Primary School,5,True,True,True,True,13.85,False,Organic,Hoe,64.51,5397,2869,75.87,5939,4480,Growing,Soybean,701,Average
40,True,High School,1,True,False,True,True,21.73,True,Conventional,Tractor,72.68,8239,4396,109.85,7101,5833,Declining,Wheat,850,Best
48,False,Primary School,7,True,True,False,True,3.83,False,Organic,Tractor,24.68,3811,1188,52.61,2115,1193,Declining,Wheat,328,Poor
47,True,Primary School,9,True,True,False,False,3.85,True,Conventional,Hoe,33.81,4782,1317,33.39,3349,2792,Declining,Wheat,359,Poor
51,True,Primary School,0,False,True,False,False,6.27,True,Hydroponic,Hoe,46.56,3449,1695,55.45,2703,1253,Declining,Wheat,424,Poor
56,True,College,10,False,False,True,True,4.76,False,Conventional,Combine,32.89,4699,1523,21.41,2701,2940,Declining,Rice,533,Poor
22,False,High School,9,True,False,False,False,7.92,True,Conventional,Hoe,25.34,4238,1595,35.32,2228,2704,Declining,Rice,418,Poor
31,True,Master,0,False,True,True,True,36.51,True,Hydroponic,Tractor,86.23,6981,4994,76.15,10349,5202,Declining,Rice,803,Best
32,False,Primary School,7,False,False,True,True,8.82,False,Organic,Tractor,75.96,3000,1224,68.45,4649,1831,Growing,Corn,740,Average
28,False,High School,8,True,False,True,True,8.04,True,Conventional,Hoe,42.0,4349,1967,58.83,2103,2765,Stable,Wheat,645,Poor
32,False,Secondary School,2,False,False,False,False,16.8,False,Conventional,Combine,71.34,6851,3594,71.96,8659,2770,Stable,Corn,772,Average
21,True,College,5,True,True,False,False,8.0,True,Organic,Tractor,25.3,4711,1630,23.22,4786,1842,Declining,Rice,608,Poor
18,False,Primary School,6,False,False,True,False,5.09,True,Hydroponic,Combine,62.79,5301,2744,47.98,7406,4401,Stable,Rice,757,Average
48,False,Secondary School,5,True,True,False,False,1.66,True,Conventional,Hoe,46.55,2655,1693,55.74,4733,1316,Growing,Rice,500,Poor
40,False,College,10,True,False,False,False,5.65,False,Hydroponic,Hoe,11.53,4030,1322,22.5,4895,1730,Stable,Soybean,401,Poor
58,False,Secondary School,5,False,False,True,True,4.85,True,Hydroponic,Tractor,22.2,1811,1733,55.33,5118,2712,Growing,Rice,352,Poor
63,True,College,2,True,False,False,True,2.99,True,Organic,Combine,19.86,1261,1582,29.99,3677,2201,Growing,Rice,586,Poor
32,True,Secondary School,4,True,True,False,False,5.04,True,Hydroponic,Tractor,24.56,4903,549,37.94,2267,2308,Growing,Soybean,458,Poor
25,False,Primary School,2,True,False,True,False,1.34,True,Organic,Combine,48.33,3914,1890,45.46,5032,1780,Growing,Rice,421,Poor
52,True,College,8,True,True,False,True,3.14,False,Conventional,Combine,35.15,3781,1723,26.59,5320,2992,Growing,Corn,637,Poor
42,False,High School,0,False,True,True,True,2.1,False,Conventional,Plow,29.16,3452,1561,41.68,2950,1292,Stable,Soybean,445,Poor
65,False,Primary School,4,False,False,True,False,9.44,False,Conventional,Hoe,36.09,1588,1264,23.53,2695,2799,Stable,Rice,550,Poor
55,False,Primary School,1,False,True,False,True,2.34,True,Organic,Tractor,10.15,1490,1436,37.43,3309,2684,Stable,Wheat,374,Poor
56,False,Primary School,6,False,True,False,True,8.19,False,Hydroponic,Plow,19.48,2083,1132,48.96,5412,1525,Declining,Soybean,445,Poor
41,False,Primary School,2,True,True,False,False,4.05,True,Hydroponic,Hoe,42.11,2043,1001,21.14,4078,1981,Growing,Corn,380,Poor
54,False,College,10,False,False,True,False,1.67,True,Hydroponic,Plow,47.19,4167,1323,47.9,3131,2278,Growing,Rice,501,Poor
64,True,Bachelor,3,True,True,True,True,38.53,True,Organic,Tractor,88.17,7071,4086,89.47,9684,3692,Stable,Soybean,863,Best
50,False,Secondary School,9,True,True,False,False,6.95,False,Conventional,Combine,57.84,5701,3699,72.48,5762,4734,Stable,Rice,761,Average
25,False,Master,3,False,True,True,True,42.5,True,Conventional,Tractor,51.05,7241,2481,88.28,8741,4444,Declining,Corn,858,Best
65,True,Primary School,7,True,False,True,False,19.32,True,Conventional,Hoe,57.37,5860,1061,44.31,8530,3867,Declining,Corn,771,Average
40,True,Secondary School,4,True,False,False,False,6.92,False,Hydroponic,Hoe,44.03,5545,1628,47.21,5991,3484,Declining,Rice,707,Average
48,False,High School,1,True,False,True,False,16.66,False,Organic,Plow,38.69,5673,1643,75.85,5273,4815,Stable,Rice,758,Average
36,False,Primary School,3,False,True,False,False,4.0,True,Hydroponic,Combine,43.41,1080,751,23.1,2081,2842,Stable,Wheat,573,Poor
45,True,High School,3,True,True,True,True,27.59,True,Organic,Combine,85.92,6840,3088,98.8,9411,5233,Growing,Corn,884,Best
61,True,Primary School,2,True,False,True,False,7.18,True,Organic,Tractor,12.15,3064,1119,29.62,5755,1218,Declining,Corn,615,Poor
61,False,Secondary School,1,False,False,False,True,9.62,False,Hydroponic,Tractor,42.79,1914,1580,45.05,4172,1473,Stable,Soybean,636,Poor
49,True,Primary School,0,False,False,False,True,3.91,False,Organic,Tractor,23.51,3183,1158,53.56,3157,1976,Declining,Wheat,352,Poor
57,True,High School,5,True,False,True,False,4.59,False,Hydroponic,Combine,14.78,3456,1234,50.32,5344,2631,Growing,Corn,346,Poor
47,True,Primary School,10,True,False,True,True,12.49,True,Organic,Tractor,64.82,5155,3114,56.97,6709,3546,Stable,Corn,714,Average
41,True,Primary School,8,True,False,False,False,16.67,True,Hydroponic,Plow,48.23,6127,1119,47.15,4220,4180,Declining,Soybean,760,Average
45,True,High School,2,True,True,False,True,3.54,True,Conventional,Tractor,48.57,2495,1834,20.22,4381,1868,Growing,Corn,478,Poor
45,True,Secondary School,0,True,True,False,False,19.77,True,Conventional,Tractor,66.7,5099,2036,73.46,5260,3840,Declining,Soybean,704,Average
41,True,High School,5,False,False,True,True,7.7,True,Organic,Combine,12.83,3833,1835,28.21,5996,2349,Declining,Soybean,307,Poor
29,False,High School,10,True,True,False,True,15.35,True,Conventional,Tractor,70.93,6227,3808,79.44,7903,2254,Growing,Soybean,788,Average
23,False,Primary School,0,False,True,True,False,6.1,False,Organic,Combine,17.96,2049,871,35.8,4962,2332,Stable,Wheat,339,Poor
20,False,Primary School,4,True,True,True,True,5.71,False,Conventional,Tractor,51.75,6887,2399,85.61,7495,2948,Stable,Soybean,757,Average
47,False,Primary School,0,True,True,False,True,15.19,False,Conventional,Tractor,42.21,3213,3826,83.6,5994,2906,Stable,Soybean,719,Average
37,True,Secondary School,8,False,True,False,False,2.23,False,Organic,Plow,40.19,1551,1289,38.84,4759,2374,Stable,Wheat,314,Poor
18,True,High School,6,True,True,True,True,18.95,False,Organic,Combine,54.24,7032,1795,71.89,5116,2637,Growing,Rice,679,Average
35,False,High School,8,True,True,True,False,4.96,False,Hydroponic,Plow,48.72,3605,1881,24.63,4360,2104,Declining,Rice,568,Poor
54,True,Secondary School,9,False,True,True,True,2.25,True,Organic,Tractor,32.21,3831,1681,26.7,2562,1888,Growing,Soybean,316,Poor
31,True,Master,0,True,True,True,True,26.35,True,Conventional,Hoe,82.0,9416,4544,90.15,7785,5349,Stable,Corn,810,Best
27,True,Master,1,False,False,True,True,44.14,True,Conventional,Hoe,63.07,9802,2091,100.8,9697,2728,Stable,Soybean,883,Best
52,True,Primary School,9,False,False,True,False,2.51,True,Conventional,Hoe,14.76,2131,676,44.14,3320,1859,Stable,Corn,419,Poor
56,False,Primary School,8,False,True,True,False,4.71,False,Organic,Tractor,38.63,4217,1686,33.32,3085,1135,Stable,Soybean,498,Poor
43,True,Primary School,0,False,True,False,False,7.03,True,Organic,Plow,21.87,4820,634,27.48,2457,2820,Stable,Corn,413,Poor
24,False,Secondary School,9,True,True,False,True,8.94,False,Conventional,Plow,28.22,4197,1190,24.18,4246,1864,Stable,Wheat,555,Poor
37,True,Phd,9,False,True,True,False,9.57,False,Hydroponic,Plow,11.68,4815,1940,23.63,5468,1881,Declining,Corn,491,Poor
64,True,High School,7,True,True,True,True,7.6,False,Hydroponic,Combine,16.37,4654,1368,51.67,3990,1590,Stable,Wheat,517,Poor
41,True,High School,7,False,False,True,False,3.71,True,Hydroponic,Tractor,35.04,2101,1849,47.1,2556,2439,Stable,Soybean,336,Poor
45,False,High School,8,False,False,False,True,2.18,False,Organic,Combine,14.35,2762,1240,45.25,3109,1323,Growing,Wheat,511,Poor
46,False,Primary School,3,False,False,True,True,15.23,False,Hydroponic,Tractor,76.17,6108,3566,54.84,4633,1712,Declining,Wheat,752,Average
39,True,High School,3,True,False,True,True,31.84,True,Conventional,Tractor,69.73,6361,3314,61.65,8774,4636,Growing,Rice,883,Best
20,False,Primary School,9,False,False,False,False,7.53,False,Hydroponic,Combine,41.63,4808,510,59.6,3616,2255,Declining,Soybean,509,Poor
64,True,High School,2,True,True,False,False,8.91,True,Organic,Plow,47.24,1417,1799,30.97,2275,2631,Declining,Rice,488,Poor
24,False,College,1,False,True,False,False,11.09,False,Conventional,Hoe,55.42,6218,2211,75.82,5783,2688,Declining,Rice,696,Average
60,True,Primary School,8,True,True,False,True,16.6,False,Conventional,Tractor,67.18,5656,3275,49.84,5131,4150,Stable,Corn,789,Average
62,True,Primary School,5,True,True,True,True,8.02,True,Conventional,Tractor,43.97,3753,1227,55.89,5832,1613,Growing,Wheat,506,Poor
30,True,High School,5,True,False,True,False,4.77,False,Organic,Combine,36.96,1830,1295,55.12,5138,1053,Stable,Soybean,648,Poor
48,False,Secondary School,0,False,False,False,True,10.98,False,Conventional,Tractor,67.72,7894,1680,51.11,7296,1969,Declining,Rice,661,Average
27,True,Bachelor,1,True,True,True,True,11.79,True,Conventional,Tractor,51.56,9519,2196,62.95,8572,3289,Declining,Corn,801,Best
31,False,Secondary School,6,False,False,False,False,2.62,True,Conventional,Tractor,12.87,2484,1129,54.15,3364,2160,Declining,Soybean,470,Poor
38,True,Master,3,True,False,True,True,34.28,True,Conventional,Tractor,88.5,6025,4768,80.34,8416,5947,Declining,Wheat,844,Best
27,False,Primary School,0,True,False,True,False,1.76,False,Organic,Plow,27.65,3779,1505,56.54,2439,2906,Declining,Wheat,481,Poor
30,True,Primary School,0,True,True,False,False,6.18,True,Organic,Tractor,32.92,3129,675,48.5,4300,1994,Growing,Corn,625,Poor
22,False,Primary School,1,False,False,False,False,12.43,True,Conventional,Tractor,58.79,6185,2585,70.06,8431,3666,Stable,Rice,771,Average
18,True,Primary School,4,True,True,False,True,9.6,False,Conventional,Hoe,36.9,3703,878,20.48,2498,1398,Growing,Wheat,463,Poor
30,False,Primary School,2,False,False,True,False,13.3,False,Organic,Hoe,73.52,7360,3034,83.12,8094,3347,Declining,Rice,695,Average
27,True,High School,10,True,False,False,False,7.73,True,Organic,Tractor,18.16,4587,680,40.54,3238,2632,Growing,Wheat,504,Poor
57,True,High School,2,True,True,True,True,16.27,True,Hydroponic,Tractor,71.31,9780,2243,70.49,7247,4029,Declining,Corn,895,Best
25,False,Primary School,6,True,True,False,False,14.92,True,Organic,Plow,30.49,4621,2671,87.94,6688,4068,Growing,Corn,788,Average
54,False,Postgraduate,1,True,False,True,False,9.91,False,Organic,Tractor,45.36,6339,3102,57.4,6029,2120,Declining,Soybean,767,Average
61,False,Secondary School,2,False,True,True,False,6.97,False,Organic,Hoe,16.86,1223,1228,53.76,4058,1564,Growing,Wheat,489,Poor
21,False,Primary School,6,True,True,False,True,14.55,False,Conventional,Plow,78.48,3201,1020,78.61,5449,3241,Stable,Rice,757,Average
57,True,Primary School,1,True,True,True,False,7.75,False,Organic,Hoe,44.4,2382,1075,35.5,3158,2634,Growing,Wheat,389,Poor
28,True,Primary School,6,False,True,True,True,6.0,True,Organic,Plow,31.02,3016,1986,57.52,4709,1021,Stable,Rice,549,Poor
54,False,Secondary School,3,True,False,False,False,15.6,True,Organic,Tractor,52.6,6675,2016,66.0,6997,3528,Growing,Corn,742,Average
50,False,Primary School,3,False,False,False,True,4.97,False,Hydroponic,Tractor,21.83,4969,1572,44.34,2162,1044,Growing,Rice,431,Poor
36,False,Primary School,9,True,True,False,True,16.42,False,Conventional,Hoe,65.61,5154,3986,56.11,8079,4350,Stable,Soybean,724,Average
32,True,High School,2,True,True,True,True,34.23,True,Hydroponic,Combine,64.44,8991,4053,88.68,8639,2727,Declining,Corn,865,Best
45,True,Primary School,9,False,False,True,True,5.25,False,Organic,Combine,12.5,1075,1630,42.27,5407,1416,Declining,Soybean,370,Poor
64,True,Primary School,7,False,False,False,True,3.18,True,Hydroponic,Combine,33.72,4698,630,46.47,3940,1124,Stable,Soybean,538,Poor
30,False,Primary School,4,True,False,False,False,8.25,True,Hydroponic,Tractor,18.09,3343,919,21.05,2650,2305,Declining,Wheat,455,Poor
22,True,Master,0,True,True,True,True,36.87,True,Organic,Tractor,88.08,5790,4299,108.34,10764,3318,Growing,Wheat,847,Best
21,True,Secondary School,7,True,False,True,True,1.05,True,Organic,Tractor,40.61,2560,1491,49.51,3418,2606,Stable,Rice,561,Poor
53,True,Primary School,3,True,True,True,False,6.72,True,Conventional,Hoe,21.81,4339,985,21.62,4769,1565,Growing,Corn,410,Poor
49,False,Primary School,3,False,True,False,False,6.94,True,Conventional,Plow,62.97,6608,2659,50.94,5418,2935,Stable,Wheat,772,Average
18,False,Primary School,9,True,False,False,False,4.3,False,Conventional,Combine,29.15,1078,905,46.55,4599,2923,Declining,Corn,302,Poor
55,True,Primary School,7,False,True,True,True,4.43,True,Conventional,Hoe,20.82,2673,1310,43.33,2623,1089,Growing,Soybean,380,Poor
51,True,Primary School,10,True,False,False,True,2.89,True,Organic,Tractor,30.66,2992,1090,31.01,2453,2276,Stable,Soybean,389,Poor
41,True,Primary School,7,True,False,True,True,11.54,False,Conventional,Combine,71.66,4918,1929,70.44,7360,4919,Growing,Wheat,682,Average
59,True,College,2,False,False,True,True,1.59,False,Organic,Tractor,48.04,1619,896,54.4,2813,1818,Declining,Soybean,392,Poor
59,True,High School,1,False,True,True,True,48.34,True,Hydroponic,Plow,57.26,8134,3090,86.65,10005,4167,Growing,Corn,823,Best
43,False,Primary School,6,True,False,False,True,4.27,False,Conventional,Hoe,38.35,2898,1101,30.85,5802,1296,Growing,Wheat,321,Poor
27,True,Primary School,7,False,True,False,False,18.97,False,Conventional,Combine,59.67,6858,2728,46.89,5906,2385,Stable,Rice,754,Average
65,False,Primary School,8,False,True,False,True,5.23,True,Hydroponic,Hoe,17.87,2976,783,56.67,4188,2424,Declining,Corn,437,Poor
47,False,Primary School,10,False,True,False,False,8.86,False,Organic,Plow,10.18,4799,1336,51.62,2161,2363,Declining,Rice,503,Poor
41,True,Secondary School,8,True,True,True,False,7.38,False,Hydroponic,Plow,75.44,3917,2221,88.72,7027,4740,Growing,Rice,730,Average
44,False,Primary School,0,False,True,False,True,3.7,False,Hydroponic,Combine,37.74,5000,874,35.38,2519,1626,Growing,Soybean,334,Poor
31,True,Primary School,0,True,True,True,True,2.98,True,Conventional,Plow,12.65,3460,1345,49.76,2786,2026,Declining,Soybean,501,Poor
59,False,Secondary School,7,False,True,False,False,14.66,True,Hydroponic,Hoe,53.01,7575,2219,42.95,8497,2224,Growing,Rice,661,Average
19,False,Secondary School,7,True,False,True,False,19.51,False,Conventional,Tractor,66.93,7530,1099,88.87,5378,2341,Declining,Corn,681,Average
49,False,High School,9,True,True,False,True,12.06,True,Organic,Tractor,37.74,3556,3318,61.98,6387,1856,Growing,Soybean,762,Average
62,False,Phd,6,True,False,False,True,6.63,True,Conventional,Combine,64.07,7176,1194,65.9,6474,2937,Declining,Rice,796,Average
26,True,High School,10,False,True,True,True,9.64,False,Organic,Combine,62.34,4499,3653,80.41,8253,2771,Declining,Corn,675,Average
44,False,Primary School,10,False,True,True,True,6.9,False,Hydroponic,Tractor,47.64,2416,631,25.34,3460,1239,Growing,Wheat,556,Poor
52,True,Primary School,0,False,False,False,True,7.3,True,Hydroponic,Hoe,13.21,2704,1060,46.92,4012,1037,Stable,Soybean,557,Poor
56,False,Primary School,6,False,True,True,True,3.91,True,Conventional,Combine,14.16,3998,1316,59.49,2498,2787,Growing,Rice,546,Poor
33,True,Bachelor,1,True,False,True,True,18.32,True,Organic,Combine,79.0,9734,3853,91.8,8295,5854,Growing,Soybean,880,Best
40,False,High School,0,True,False,True,True,29.09,True,Conventional,Tractor,76.63,9476,4485,68.21,10309,2720,Stable,Wheat,875,Best
40,False,Primary School,10,True,True,False,False,3.4,True,Organic,Plow,40.21,1352,1712,33.31,4442,2476,Growing,Rice,452,Poor
61,True,Primary School,2,True,True,False,True,7.56,False,Conventional,Plow,26.22,1298,1602,47.95,3051,2623,Growing,Rice,369,Poor
62,True,Primary School,7,False,False,False,False,1.39,True,Organic,Plow,39.48,4517,679,48.57,2377,2327,Declining,Wheat,454,Poor
64,True,Primary School,6,False,True,False,True,7.72,True,Organic,Tractor,20.36,4750,936,46.42,3550,1165,Stable,Soybean,352,Poor
29,False,Primary School,6,True,True,True,False,15.05,True,Organic,Hoe,78.02,4111,3983,70.02,8449,3564,Growing,Rice,666,Average
25,False,College,1,False,False,True,False,4.86,True,Organic,Plow,28.18,2878,1320,43.93,5309,2743,Growing,Corn,606,Poor
54,False,Secondary School,3,True,False,False,True,2.18,True,Conventional,Tractor,40.08,4344,1274,35.85,5706,1541,Declining,Wheat,395,Poor
51,True,Primary School,10,False,True,False,True,1.24,False,Hydroponic,Combine,37.04,4294,1152,46.39,2103,2174,Stable,Corn,439,Poor
44,True,Primary School,0,True,False,False,True,3.78,True,Hydroponic,Tractor,42.02,4074,816,46.74,4607,2230,Growing,Corn,350,Poor
44,True,Primary School,6,True,True,False,True,18.27,False,Conventional,Tractor,44.4,7517,2999,80.22,6429,2376,Declining,Corn,744,Average
55,False,Secondary School,0,True,False,True,False,3.13,False,Conventional,Combine,41.45,1973,1199,58.78,3434,2932,Declining,Rice,455,Poor
59,True,Primary School,5,True,False,True,False,1.5,True,Hydroponic,Combine,47.2,1447,1036,41.42,3633,1288,Growing,Corn,500,Poor
62,False,Primary School,9,False,False,True,True,9.72,False,Conventional,Plow,42.56,4888,1992,35.19,5347,1878,Declining,Rice,445,Poor
30,False,Primary School,3,False,False,True,True,4.93,False,Hydroponic,Combine,31.64,3209,1195,38.07,4142,2402,Declining,Corn,346,Poor
49,False,Phd,3,False,False,False,True,13.91,False,Conventional,Combine,43.76,7395,3092,82.59,8907,4982,Declining,Wheat,797,Average
50,False,College,7,False,True,True,True,7.76,False,Organic,Combine,17.99,1039,1826,44.23,5764,2713,Declining,Soybean,544,Poor
64,True,Primary School,4,False,True,True,False,12.31,False,Hydroponic,Tractor,63.02,4742,2984,54.56,7596,4003,Growing,Corn,652,Average
54,False,Bachelor,1,True,True,True,True,49.04,True,Conventional,Combine,73.71,9326,4982,88.15,7486,2974,Stable,Corn,843,Best
22,False,Primary School,10,True,True,False,True,1.54,False,Organic,Plow,35.11,1089,1010,22.76,3963,1284,Growing,Corn,477,Poor
22,False,Primary School,0,False,False,True,True,9.98,True,Conventional,Hoe,12.91,4698,840,35.65,3479,1477,Declining,Corn,612,Poor
60,True,Primary School,4,True,False,True,True,1.07,False,Conventional,Tractor,22.09,4211,725,32.89,5414,2509,Stable,Rice,623,Poor
40,False,College,7,True,False,False,True,9.83,True,Hydroponic,Combine,55.72,7021,2535,83.1,5577,4013,Growing,Wheat,745,Average
61,False,Secondary School,4,True,False,False,True,2.34,True,Hydroponic,Tractor,25.96,1092,1305,52.35,4769,2265,Stable,Soybean,594,Poor
38,False,Primary School,0,False,True,False,True,4.76,True,Hydroponic,Hoe,47.53,4431,1331,59.76,3536,1378,Declining,Soybean,515,Poor
45,True,Primary School,8,True,True,False,False,2.32,False,Conventional,Tractor,31.02,3692,1863,45.18,3025,2829,Growing,Rice,593,Poor
31,True,Primary School,2,False,False,False,False,2.22,False,Hydroponic,Combine,20.68,1535,886,37.63,5441,2524,Stable,Wheat,637,Poor
30,True,Bachelor,2,True,True,True,True,38.29,True,Organic,Tractor,73.84,6068,3525,89.23,6200,2585,Declining,Wheat,890,Best
60,False,Primary School,2,False,False,False,False,6.28,False,Hydroponic,Tractor,34.12,7764,2679,42.56,6545,1980,Stable,Rice,661,Average
42,False,Primary School,5,False,False,True,True,8.28,True,Hydroponic,Plow,63.15,4000,2634,79.32,6263,1841,Stable,Rice,694,Average
52,False,High School,1,False,True,True,True,9.63,True,Organic,Tractor,37.49,4679,1199,52.41,3029,2062,Stable,Wheat,479,Poor
35,True,Primary School,3,False,True,True,True,15.56,False,Hydroponic,Hoe,30.78,5083,2856,49.59,5227,3786,Growing,Wheat,710,Average
19,True,Primary School,0,False,False,True,True,8.0,True,Organic,Hoe,20.03,3760,1674,59.61,2034,1934,Growing,Rice,399,Poor
52,False,Bachelor,3,True,True,True,True,13.29,True,Organic,Combine,99.52,7102,3868,107.96,9786,4723,Growing,Soybean,899,Best
47,False,College,10,True,False,False,True,8.15,False,Conventional,Tractor,77.97,3822,1815,48.74,5640,1962,Stable,Soybean,744,Average
56,False,Primary School,10,False,True,True,False,8.51,False,Organic,Tractor,14.58,3082,901,43.7,4571,2396,Stable,Corn,626,Poor
50,True,Primary School,8,False,True,False,False,4.79,False,Conventional,Tractor,41.71,1836,758,57.13,3073,1314,Stable,Wheat,354,Poor
63,False,Primary School,10,False,False,False,False,1.19,True,Conventional,Tractor,10.88,3839,1977,45.49,4878,1306,Growing,Rice,508,Poor
32,False,Primary School,0,True,False,True,False,8.36,False,Organic,Combine,45.72,4363,2018,44.21,8061,1825,Stable,Rice,675,Average
29,False,Primary School,9,False,False,True,True,5.07,False,Organic,Plow,39.96,1615,1471,24.64,5399,2578,Stable,Wheat,340,Poor
20,True,Primary School,7,True,True,False,True,18.52,True,Conventional,Hoe,40.24,3595,1972,58.02,7370,3811,Growing,Rice,758,Average
50,True,Primary School,7,True,False,False,True,8.44,False,Conventional,Plow,39.75,3966,970,22.71,3657,2671,Declining,Rice,470,Poor
56,False,Primary School,1,False,True,True,True,2.67,False,Conventional,Hoe,26.58,3324,663,35.41,2083,1170,Growing,Rice,473,Poor
54,True,Primary School,8,False,False,True,True,9.57,False,Organic,Plow,42.46,4357,1602,21.17,2023,2725,Stable,Rice,544,Poor
19,False,Primary School,1,True,True,True,True,3.19,True,Organic,Tractor,44.42,1944,754,23.36,5563,2151,Declining,Wheat,541,Poor
29,False,Primary School,1,False,False,True,False,9.71,False,Conventional,Hoe,67.11,5393,2538,65.55,4159,1958,Declining,Wheat,692,Average
23,False,Master,2,True,True,True,True,19.67,True,Hydroponic,Tractor,94.14,6527,2085,94.35,8155,5820,Declining,Corn,877,Best
38,True,High School,1,True,True,True,True,34.26,True,Organic,Tractor,64.91,8067,3119,101.89,6905,5425,Stable,Soybean,882,Best
43,True,High School,7,True,True,False,True,10.36,False,Conventional,Plow,43.83,6024,3082,56.72,6097,2184,Growing,Wheat,717,Average
24,True,Secondary School,3,False,False,False,False,9.24,True,Conventional,Plow,19.15,1714,1016,38.32,5415,2709,Stable,Rice,620,Poor
